Minnetonkamarriott.com-0039-2015Redesign;en-US;m.facebook.com;9617;1;0
Broadmoor.com-0073-2016Redesign;en-US;tpc.googlesyndication.com;16728;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;www.google.co.uk;22357;1;0
Broadmoor.com-0073-2016Redesign;en-US;login.nomadix.com:1111;16724;1;0
Thesagamore.com-0112-2017Redesign;en-US;www.ophotels.com;32339;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;www.ophotels.com;35641;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.google.com;7805;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;www.sunny.org;7831;1;0
Halcyonhotelcherrycreek.com-0061-2015Redesign;en-US;www.google.com;23287;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;26679;1;0
wentworthcom00212014redesign;en-US;www.ophotels.com;4259;1;0
Casaybelresort.com-0002-2014Redesign;en-US;www.google.com;1533;1;0
Broadmoor.com-0073-2016Redesign;en-US;www.bing.com;16766;1;0
theweststreethotel.com-0115-2017Redesign;en-US;www.ophotels.com;36683;1;0
Treasureislandbeachresort.com-0089-2016Redesign;en-US;www.google.com;22169;1;0
