Chrco.com-0107-2017Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;29280;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16772;1;0
Monarchbeachresort.com-0092-2016Redesign;en-US;https://www.google.com/;22725;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Montaukyachtclub.com-0010-2014Redesign;en-US;http://m.facebook.com/;2240;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Sandylane.com-0075-2016Redesign;en-US;http://m.facebook.com/;17686;1;0
Beverlyhillsresidenceinn.com-0087-2016Redesign;en-US;http://marriottbeverlyhills.com/;20999;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.beachcamsusa.com/fl/key-largo/key-largo-marriott-bay-resort-live-webcam;3948;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.beachcamsusa.com/fl/key-largo/key-largo-marriott-bay-resort-live-webcam;3964;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;7764;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com.au/;7831;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.ca/;17611;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;10924;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://surfinggator.com/florida-keys/live-cams/live-cams.html;3948;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://search.yahoo.com/;1613;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16769;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;http://www.google.com/;7831;1;0
