Thecurtis.com-0079-2016Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;18374;1;0
Residenceinnnyc.com-0034-2015Redesign;en-US;https://www.google.com/;7926;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.ca/;7831;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.barharborinfo.com/Where-to-Eat.aspx;36683;1;0
Casaybelresort.com-0002-2014Redesign;en-US;http://m.facebook.com/;1639;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.sunny.org/webcam/;7831;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.ca/;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Sandpearl.com-0091-2016Redesign;en-US;https://r.search.yahoo.com/_ylt=A9mSs3EOvLVZ52IAzEBB4iA5##SEMICOLONDELIMITER##_ylu=X3oDMTByaW11dnNvBGNvbG8DaXIyBHBvcwMxBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1505111183/RO=10/RU=https%3a//www.sandpearl.com//RK=1/RS=ZV7cEmC4mj7bs6SzPksz_hfsmCk-;22481;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.barharborinfo.com/Where-to-Eat.aspx;36683;1;0
theweststreethotel.com-0115-2017Redesign;en-US;https://www.google.com/;36683;1;0
Casaybelresort.com-0002-2014Redesign;en-US;http://r.search.yahoo.com/_ylt=AwrBT7clu7VZPHQAnUhx.9w4##SEMICOLONDELIMITER##_ylu=X3oDMTByMHZ0NG9yBGNvbG8DYmYxBHBvcwM3BHZ0aWQDBHNlYwNzcg--/RV=2/RE=1505110950/RO=10/RU=http%3a//www.casaybelresort.com/web-cam//RK=1/RS=qzZyKBGHBQvEnF_jD1PmwtSm6BQ-;1613;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.acadiamagic.com/dining.html;36683;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;31905;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;31905;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;http://www.baysider.com/Webcams/United_States/Longboat_Key/Longboat_Key_Club_Lagoon_View/;35641;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.co.uk/;17714;1;0
wentworthcom00212014redesign;en-US;http://www.google.com/;4307;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;http://www.earthcam.com/network/;7831;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://www.golfcoursegurus.com/reviews/broadmoor(east).php;16791;1;0
saddlebrook.com-0011-2014Redesign;en-US;http://m.facebook.com/;3452;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://www.golfcoursegurus.com/reviews/broadmoor(east).php;16791;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Casaybelresort.com-0002-2014Redesign;en-US;http://surfinggator.com/fort-myers/cams/cams.html;1613;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;https://www.google.com/;17145;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;https://www.google.com/;28545;1;0
Theloganhotel.com-0043-2015Redesign;en-US;http://juliuservinggolfclassic.com/;20218;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.acadiamagic.com/dining.html;36683;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;https://www.bing.com/;37571;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7831;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Opalsands.com-0084-2016Redesign;en-US;http://www.google.com/;20171;1;0
saddlebrook.com-0011-2014Redesign;en-US;https://www.google.com.pr/;3385;1;0
Casaybelresort.com-0002-2014Redesign;en-US;https://www.google.com/;1613;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;33475;1;0
Sandpearl.com-0091-2016Redesign;en-US;http://www.baidu.com/;22481;1;0
Homewoodsuiteslax.com-0110-2017Redesign;en-US;https://www.google.com/;30772;1;0
