Renaissancepittsburghpa.com-0044-2015Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;9637;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;http://www.ophotels.com/locator/;27232;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;http://www.ophotels.com/locator/;35641;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;http://www.ophotels.com/locator/;28666;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.ophotels.com/locator/;36683;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.ophotels.com/locator/;32339;1;0
Samosetresort.com-0113-2017Redesign;en-US;http://www.ophotels.com/locator/;32541;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;http://www.ophotels.com/locator/;37571;1;0
Samosetresort.com-0113-2017Redesign;en-US;http://www.ophotels.com/locator/;32541;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;https://www.google.com/;9801;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;32339;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;https://www.google.com/;39355;1;0
Hospitalityupgrade.com-0093-2016Redesign;en-US;https://www.google.com/;31876;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Jbdukehotel.com-0086-2016Redesign;en-US;https://www.google.com/;21918;1;0
Opalsands.com-0084-2016Redesign;en-US;https://www.google.com/;20171;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;https://www.google.com/;17160;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;16721;1;0
Marriottdelraybeach.com-0009-2014Redesign;en-US;http://www.ophotels.com/locator/;2829;1;0
Marriottkeylargo.com-0015-2014Redesign;en-US;http://www.ophotels.com/locator/;3948;1;0
wentworthcom00212014redesign;en-US;http://www.ophotels.com/locator/;26679;1;0
Delraysandsresort.com-0097-2016Redesign;en-US;http://www.ophotels.com/locator/;27232;1;0
Jupiterbeachresort.com-0103-2017Redesign;en-US;http://www.ophotels.com/locator/;28158;1;0
Lakeplacidlodge.com-0105-2017Redesign;en-US;http://www.ophotels.com/locator/;28545;1;0
Lidobeachresort.com-0106-2017Redesign;en-US;http://www.ophotels.com/locator/;28666;1;0
Theharborsidehotel.com-0114-2017Redesign;en-US;http://www.ophotels.com/locator/;37571;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.ophotels.com/locator/;32339;1;0
Edgewaternaples.com-0094-2016Redesign;en-US;https://www.google.com/;25239;1;0
Longboatkeyclub.com-0104-2017Redesign;en-US;http://www.ophotels.com/locator/;35641;1;0
theweststreethotel.com-0115-2017Redesign;en-US;http://www.ophotels.com/locator/;36683;1;0
Samosetresort.com-0113-2017Redesign;en-US;http://www.ophotels.com/locator/;32541;1;0
Samosetresort.com-0113-2017Redesign;en-US;http://www.ophotels.com/locator/;32541;1;0
Thecrawfordhotel.com-0074-2016Redesign;en-US;https://www.google.com/;17667;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.google.com/;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.google.com/;32339;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Thelodgeatwoodloch.com-0033-2015Redesign;en-US;android-app://com.google.android.googlequicksearchbox/;7764;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Washingtondukeinn.com-0024-2014Redesign;en-US;https://www.tripadvisor.com/Hotel_Review-g49092-d94277-Reviews-Washington_Duke_Inn_Golf_Club-Durham_North_Carolina.html;4524;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
wentworthcom00212014redesign;en-US;http://www.ophotels.com/locator/;26679;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://tpc.googlesyndication.com/safeframe/1-0-10/html/container.html;16728;1;0
Bellemontfarm.com-0007-2013Redesign;en-US;http://www.travelchannel.com/interests/holidays/photos/unique-places-to-spend-thanksgiving;11497;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Broadmoor.com-0073-2016Redesign;en-US;http://login.nomadix.com:1111/web/portal.html;16724;1;0
Sandylane.com-0075-2016Redesign;en-US;https://www.google.com/;17611;1;0
Cphollywoodbeach.com-0032-2015Redesign;en-US;https://www.google.com/;7805;1;0
Broadmoor.com-0073-2016Redesign;en-US;https://www.google.com/;18259;1;0
Galthouse.com-0042-2015Redesign;en-US;https://www.google.com/;10567;1;0
Lehotels.com-0049-2015Transfer;en-US;https://www.google.com.ar/;12292;1;0
Zotabeachresort.com-0090-2016Redesign;en-US;http://www.visitsarasota.com/hotels-motels/zota-beach-resort;22357;1;0
Thesagamore.com-0112-2017Redesign;en-US;http://www.lakegeorge.com/business/sagamore-670/;32339;1;0
Thesagamore.com-0112-2017Redesign;en-US;https://www.google.com/;33452;1;0
Secretharbourvi.com-0040-2015Redesign;en-US;https://www.google.com/;9231;1;0
